Unnamed: 0,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance,wins,win_percentage
96,Matt Murray,DAL,1,60.0,23,23,0,1.0,0.0,2.22,2.03,3,3,0,1.000,0.0,0.57,4,4,0,1.0,0.0,0.47,14,14,0,1.000,0.0,0.54,2,4,43.78,-,1,100.0
97,Yaniv Perets,CAR,1,12.766666666667,1,1,0,1.0,0.0,0.1,0.04,0,0,0,-,0.0,0.0,1,1,0,1.0,0.0,0.12,0,0,0,-,0.0,0.0,0,0,28.0,-,0,0.0
98,Georgi Romanov,S.J,2,59.25,30,29,1,0.967,1.01,1.9,3.11,6,5,1,0.833,1.01,0.14,7,7,0,1.0,0.0,0.83,16,16,0,1.000,0.0,0.61,1,5,30.73,7.00,0,0.0
16,Louis Domingue,NYR,1,60.0,26,25,1,0.962,1.0,1.51,2.5,6,5,1,0.833,1.0,0.14,6,6,0,1.0,0.0,0.71,14,14,0,1.000,0.0,0.54,0,6,34.15,9.00,1,100.0
89,Yaroslav Askarov,NSH,2,81.666666666667,35,33,2,0.943,1.47,1.38,3.82,8,7,1,0.875,0.73,0.52,10,9,1,0.9,0.73,0.18,17,17,0,1.000,0.0,0.65,3,11,32.09,21.50,1,50.0
18,Frederik Andersen,CAR,16,912.88333333333,410,382,28,0.932,1.84,11.61,41.41,108,95,13,0.880,0.85,7.52,104,92,12,0.885,0.79,0.3,171,168,3,0.982,0.2,3.54,28,78,36.1,19.57,13,81.25
80,Justus Annunen,COL,14,801.08333333333,414,384,30,0.928,2.25,10.0,41.93,116,98,18,0.845,1.35,4.04,97,89,8,0.918,0.6,3.47,186,182,4,0.978,0.3,3.12,23,81,35.14,19.10,8,57.14285714285714
19,Laurent Brossoit,WPG,23,1351.3166666667,620,575,45,0.927,2.0,14.9,60.27,152,131,21,0.862,0.93,7.88,162,145,17,0.895,0.75,2.15,272,265,7,0.974,0.31,3.41,35,116,36.54,20.42,15,65.21739130434783
28,Anthony Stolarz,FLA,27,1506.45,683,632,51,0.925,2.03,14.98,72.27,212,182,30,0.858,1.19,10.27,153,140,13,0.915,0.52,5.09,281,273,8,0.972,0.32,2.76,39,145,34.52,19.33,16,59.25925925925925
22,Magnus Hellberg,PIT,3,119.88333333333,64,59,5,0.922,2.5,1.18,5.95,16,12,4,0.750,2.0,-0.96,21,20,1,0.952,0.5,1.48,26,26,0,1.000,0.0,1.0,3,11,31.97,16.00,1,33.33333333333333
29,Connor Hellebuyck,WPG,60,3567.3333333333,1798,1656,142,0.921,2.39,31.71,173.96,499,414,85,0.830,1.43,9.8,413,371,42,0.898,0.71,6.83,792,777,15,0.981,0.25,15.31,92,344,35.97,18.37,37,61.66666666666667
65,David Rittich,L.A,24,1364.5166666667,621,572,49,0.921,2.15,11.0,63.46,167,141,26,0.844,1.14,5.73,152,137,15,0.901,0.66,2.97,275,267,8,0.971,0.35,2.53,25,121,34.76,22.33,13,54.166666666666664
4,Semyon Varlamov,NYI,28,1594.7333333333,836,767,69,0.917,2.6,11.77,80.18,214,178,36,0.832,1.35,4.65,203,183,20,0.901,0.75,4.0,375,362,13,0.965,0.49,1.35,58,176,35.03,21.62,14,50.0
7,Michael Hutchinson,DET,1,57.8,36,33,3,0.917,3.11,0.48,2.68,10,8,2,0.800,2.08,-0.1,4,4,0,1.0,0.0,0.47,20,19,1,0.950,1.04,-0.23,2,2,42.61,19.00,0,0.0
26,Chris Driedger,SEA,2,119.58333333333,60,55,5,0.917,2.51,0.8,6.06,16,13,3,0.813,1.51,0.04,12,10,2,0.833,1.0,-0.58,30,30,0,1.000,0.0,1.15,7,12,32.28,17.00,1,50.0
39,Thatcher Demko,VAN,51,3015.8833333333,1488,1365,123,0.917,2.45,20.76,143.59,401,335,66,0.835,1.31,10.18,352,315,37,0.895,0.74,4.62,663,643,20,0.970,0.4,5.38,80,262,34.92,20.89,35,68.62745098039215
56,Joey Daccord,SEA,50,2832.7833333333,1373,1257,116,0.916,2.46,16.65,126.99,285,222,63,0.779,1.33,-8.86,338,306,32,0.905,0.68,7.97,672,651,21,0.969,0.44,4.72,68,237,37.82,19.14,19,38.0
73,Jeremy Swayman,BOS,44,2565.85,1288,1180,108,0.916,2.53,16.43,126.46,337,274,63,0.813,1.47,1.02,311,283,28,0.91,0.65,8.77,571,554,17,0.970,0.4,4.85,99,238,35.55,18.58,25,56.81818181818182
11,Sergei Bobrovsky,FLA,58,3414.2333333333,1585,1450,135,0.915,2.37,18.13,144.66,411,335,76,0.815,1.34,2.08,376,339,37,0.902,0.65,7.46,691,669,22,0.968,0.39,4.45,108,242,37.49,19.34,36,62.06896551724138
30,Linus Ullmark,BOS,41,2400.4833333333,1209,1106,103,0.915,2.57,13.8,117.61,336,280,56,0.833,1.4,7.83,298,264,34,0.886,0.85,1.24,523,510,13,0.975,0.32,7.02,85,226,34.35,19.21,22,53.65853658536586
24,Malcolm Subban,CBJ,1,60.0,35,32,3,0.914,3.0,0.38,4.3,11,11,0,1.000,0.0,2.09,6,4,2,0.667,2.0,-1.29,18,17,1,0.944,1.0,-0.31,0,7,33.23,31.67,0,0.0
10,Cam Talbot,L.A,54,3116.1166666667,1490,1360,130,0.913,2.5,13.95,140.36,347,282,65,0.813,1.25,0.92,376,335,41,0.891,0.79,3.46,683,659,24,0.965,0.46,2.14,73,257,36.08,19.57,27,50.0
21,Jordan Binnington,STL,57,3291.8333333333,1784,1628,156,0.913,2.84,16.35,178.64,494,414,80,0.838,1.46,13.85,425,378,47,0.889,0.86,3.25,785,756,29,0.963,0.53,1.05,93,321,33.58,19.46,28,49.122807017543856
