Player,Position,cps
Nikita Kucherov,R,0.7772484937608359
Nathan MacKinnon,C,0.7355979723837454
Connor McDavid,C,0.6904238901494436
Artemi Panarin,L,0.7275207081305413
David Pastrnak,R,0.7296171271183347
Auston Matthews,C,0.7808863412644024
Leon Draisaitl,C,0.6784387377071326
Mikko Rantanen,R,0.6896608010278614
J.T. Miller,C,0.610478636480418
William Nylander,R,0.6472178509970046
Kirill Kaprizov,L,0.6708897852814464
Sidney Crosby,C,0.6471310924008594
Filip Forsberg,L,0.6834636974923537
Sam Reinhart,C,0.6584662322161384
Quinn Hughes,D,0.5059177301686478
Brayden Point,C,0.5669240170859945
Cale Makar,D,0.5874409150188964
Sebastian Aho,C,0.5944999230449679
Sebastian Aho,C,0.5539058636390275
Elias Pettersson,C,0.5846425051890165
Matthew Tkachuk,L,0.5863663956367525
Robert Thomas,C,0.575310899997336
Roman Josi,D,0.570197302413482
Mitchell Marner,R,0.5267427701872907
Jesper Bratt,L,0.5539796595374006
Evan Bouchard,D,0.555010533588471
Steven Stamkos,C,0.5051048323327004
Aleksander Barkov,C,0.5541344871822044
Mathew Barzal,C,0.5419489263573048
Jason Robertson,L,0.5496414188204796
Zach Hyman,L,0.6726554882521592
Vincent Trocheck,C,0.5755870560025282
Jake Guentzel,L,0.5521625449306293
Nick Suzuki,C,0.5232199464944545
Victor Hedman,D,0.4951896862585614
Clayton Keller,R,0.5241743836689003
Gustav Nyquist,C,0.4688202888648662
Nazem Kadri,C,0.5358238455213387
Chris Kreider,L,0.5932264780452895
Adrian Kempe,R,0.5310887507743276
Brandon Hagel,L,0.5217308605633452
Brady Tkachuk,L,0.6083963590875195
Jack Hughes,C,0.4858562772532489
Kevin Fiala,L,0.5250022809658066
Brock Boeser,R,0.5718096915783332
Adam Fox,D,0.4851208826084376
Mika Zibanejad,C,0.5240681115539942
Mark Scheifele,C,0.5087320568955017
Carter Verhaeghe,C,0.515020329477423
Lucas Raymond,L,0.4876284488389022
Anze Kopitar,C,0.5082973170948331
Noah Dobson,D,0.5771443587554388
Tim Stützle,C,0.4667255707667561
Ryan O'Reilly,C,0.5417176223981763
Brock Nelson,C,0.4990377733646234
Jonathan Marchessault,R,0.5571391147658868
Josh Morrissey,D,0.5490036769856251
Dylan Larkin,C,0.5123402830206749
Bo Horvat,C,0.5082606873348628
Jack Eichel,C,0.4978466393798909
Travis Konecny,R,0.5364365459172383
Matt Boldy,L,0.5181551303973011
Joe Pavelski,C,0.4788018191368807
Evgeni Malkin,C,0.545619796598047
Brad Marchand,L,0.5140636414155796
Ryan Nugent-Hopkins,C,0.505221800133056
Dylan Strome,C,0.4753039138650348
Alex DeBrincat,R,0.5108534107809984
Jordan Kyrou,C,0.4775338487690594
Nico Hischier,C,0.5029264070659183
Seth Jarvis,C,0.5325522572449023
Drake Batherson,R,0.4940991873618002
Alex Ovechkin,L,0.5360045338145054
John Tavares,C,0.5227597874336474
Matt Duchene,C,0.4779393185885375
Roope Hintz,C,0.4960938648055595
Cole Caufield,R,0.5462734494977767
Wyatt Johnston,C,0.5069840316201245
Claude Giroux,R,0.4714753143071376
Joel Eriksson Ek,C,0.5404302422167085
Mats Zuccarello,R,0.405724297595972
Pavel Buchnevich,L,0.508654976664771
Mike Matheson,D,0.5681020767330862
