Player,Position,cps_goalie
Matt Murray,G,0.8671541352656591
Yaniv Perets,G,0.7130159603742433
Georgi Romanov,G,0.7672068441422608
Louis Domingue,G,0.7606631764127024
Yaroslav Askarov,G,0.7273414572292018
Frederik Andersen,G,0.7155498437474326
Justus Annunen,G,0.6803128533491241
Laurent Brossoit,G,0.6973751105386315
Anthony Stolarz,G,0.6840778851986579
Magnus Hellberg,G,0.6475379922949032
Connor Hellebuyck,G,0.651298663138629
David Rittich,G,0.6667040020792353
Semyon Varlamov,G,0.6312597118883627
Michael Hutchinson,G,0.6290261122311167
Chris Driedger,G,0.6491792049728926
Thatcher Demko,G,0.6412725709346676
Joey Daccord,G,0.6119749225128354
Jeremy Swayman,G,0.622058069336046
Sergei Bobrovsky,G,0.6350346056341033
Linus Ullmark,G,0.618018134211981
Malcolm Subban,G,0.6571838009742532
Cam Talbot,G,0.604854434456826
Jordan Binnington,G,0.5744884377306927
Joel Hofer,G,0.6176408597410606
Igor Shesterkin,G,0.5969783900167132
Jonathan Quick,G,0.6170852559514729
Charlie Lindgren,G,0.5914205705344537
Pyotr Kochetkov,G,0.6261744488723099
Ukko-Pekka Luukkonen,G,0.5862845980330892
Cayden Primeau,G,0.5948783986681543
Calvin Pickard,G,0.629156284493355
Adin Hill,G,0.5990393990365162
Ilya Sorokin,G,0.5426791345379922
Carter Hart,G,0.600761738148322
Daniil Tarasov,G,0.5867286947300048
Logan Thompson,G,0.5770529997259841
Kevin Lankinen,G,0.605068729972446
Jet Greaves,G,0.5849532185034186
Petr Mrazek,G,0.5321854389629413
Connor Ingram,G,0.5559218784944295
Joseph Woll,G,0.5834055287080934
Juuse Saros,G,0.5433570590113366
Jacob Markstrom,G,0.5482977482017336
Stuart Skinner,G,0.5653575192746708
Jake Oettinger,G,0.5704451239610814
James Reimer,G,0.5749474871237329
Alex Lyon,G,0.541859629100082
Tristan Jarry,G,0.5270521722551558
Sam Montembeault,G,0.5162953130030454
Martin Jones,G,0.5853973899306338
Alex Nedeljkovic,G,0.5475885512923182
Lukas Dostal,G,0.5169507183790603
Andrei Vasilevskiy,G,0.5257682002659435
Devon Levi,G,0.5577744408403099
Scott Wedgewood,G,0.5646468239131732
Philipp Grubauer,G,0.5434152855677655
Mackenzie Blackwood,G,0.47679024796263186
Filip Gustavsson,G,0.5259062399919854
Kaapo Kahkonen,G,0.4955120438137053
Elvis Merzlikins,G,0.48118969320407146
Alexandar Georgiev,G,0.4817705150578142
Jesper Wallstedt,G,0.5794976334768995
Marc-Andre Fleury,G,0.5224679612862053
Jake Allen,G,0.4896109200620479
Karel Vejmelka,G,0.5024843869439666
Casey DeSmith,G,0.5412521741515799
Ivan Prosvetov,G,0.5745697821627407
Akira Schmid,G,0.5624121687884782
Nico Daws,G,0.5499955268414471
Hunter Shepard,G,0.5702676863119197
Jiri Patera,G,0.5556910565440906
Dustin Wolf,G,0.56196973277455
Matt Tomkins,G,0.5787186262800591
Ville Husso,G,0.5290266259315558
Darcy Kuemper,G,0.49277390728499804
Anton Forsberg,G,0.5211216045720934
Joonas Korpisalo,G,0.43255207952108615
Vitek Vanecek,G,0.5113543180305851
Jonas Johansson,G,0.51536440338405
Ilya Samsonov,G,0.49297668871070344
Samuel Ersson,G,0.48211280849553995
Spencer Martin,G,0.531882336564151
John Gibson,G,0.42747613441906934
Dan Vladar,G,0.5023609993890752
Arturs Silovs,G,0.5900405288480612
Arvid Soderblom,G,0.4172923149311614
Jack Campbell,G,0.48817460087274667
Eric Comrie,G,0.5116214950288422
Antti Raanta,G,0.5056296497400985
Pheonix Copley,G,0.5393856602085392
Devin Cooley,G,0.46826345827910876
Cal Petersen,G,0.50054947244972
Mads Sogaard,G,0.4950948416737435
Magnus Chrona,G,0.4403290909645568
Matt Villalta,G,0.449311046299147
Felix Sandstrom,G,0.4552131264780115
Ivan Fedotov,G,0.3789470185886589
Kenneth Appleby,G,0.3215369325167742
