player,Position,cps,url,cap_hit,cap_hit_pct,base_salary,signing_bonus,contract_start_year,contract_years_signed,contract_years_left,free_agent_year,salary_signed,status_after_contract,age,birthday,experience,country,college,drafted,team_name
Nikita Kucherov,R,0.7772484937608359,https://www.spotrac.com/nhl/player/_/id/11249,9500000,10.8,5000000,4000000,2019,8,3,2027,76000000,UFA,31-102d,Jun 17 1993,8 Years,RU,CSKA,Round 2 (#58 overall) 2011,Tampa Bay Lightning
Nathan MacKinnon,C,0.7355979723837454,https://www.spotrac.com/nhl/player/_/id/13403,12600000,14.32,775000,15725000,2023,8,7,2031,100800000,UFA,29-26d,Sep 01 1995,10 Years,CA,Halifax,Round 1 (#1 overall) 2013,Colorado Avalanche
Connor McDavid,C,0.6904238901494436,https://www.spotrac.com/nhl/player/_/id/17891,12500000,14.2,3000000,7000000,2018,8,2,2026,100000000,UFA,27-256d,Jan 13 1997,8 Years,CA,Erie,Round 1 (#1 overall) 2015,Edmonton Oilers
Artemi Panarin,L,0.7275207081305413,https://www.spotrac.com/nhl/player/_/id/17517,11642857,13.23,1000000,9000000,2019,7,2,2026,81500000,UFA,32-333d,Oct 30 1991,7 Years,RU,St. Petersburg,Undrafted CHI 2015,New York Rangers
David Pastrnak,R,0.7296171271183347,https://www.spotrac.com/nhl/player/_/id/15582,11250000,12.78,8500000,4500000,2023,8,7,2031,90000000,UFA,28-124d,May 25 1996,9 Years,CZ,Sodertalje SK,Round 1 (#25 overall) 2014,Boston Bruins
Leon Draisaitl,C,0.6784387377071326,https://www.spotrac.com/nhl/player/_/id/15712,8500000,9.66,8000000,-,2025,8,9,2033,112000000,UFA,28-335d,Oct 27 1995,9 Years,DE,Prince Albert,Round 1 (#3 overall) 2014,Edmonton Oilers
Mikko Rantanen,R,0.6896608010278614,https://www.spotrac.com/nhl/player/_/id/17992,9250000,10.51,6000000,-,2019,6,1,2025,55500000,UFA,27-332d,Oct 29 1996,8 Years,FI,TPS,Round 1 (#10 overall) 2015,Colorado Avalanche
J.T. Miller,C,0.610478636480418,https://www.spotrac.com/nhl/player/_/id/12653,8000000,9.09,5000000,4000000,2023,7,6,2030,56000000,UFA,31-197d,Mar 14 1993,10 Years,US,Plymouth,Round 1 (#15 overall) 2011,Vancouver Canucks
William Nylander,R,0.6472178509970046,https://www.spotrac.com/nhl/player/_/id/15746,11500000,13.07,3500000,10000000,2024,8,8,2032,92000000,UFA,28-148d,May 01 1996,7 Years,CA,Sodertalje SK,Round 1 (#8 overall) 2014,Toronto Maple Leafs
Kirill Kaprizov,L,0.6708897852814464,https://www.spotrac.com/nhl/player/_/id/48851,9000000,10.23,10000000,-,2021,5,2,2026,45000000,UFA,27-153d,Apr 26 1997,2 Years,RU,,Undrafted MIN 2020,Minnesota Wild
Sidney Crosby,C,0.6471310924008594,https://www.spotrac.com/nhl/player/_/id/2018,8700000,9.89,3000000,-,2025,2,3,2027,17400000,UFA,37-53d,Aug 07 1987,17 Years,CA,Rimouski,Round 1 (#1 overall) 2005,Pittsburgh Penguins
Filip Forsberg,L,0.6834636974923537,https://www.spotrac.com/nhl/player/_/id/10758,8500000,9.66,10000000,-,2022,8,6,2030,68000000,UFA,30-45d,Aug 13 1994,10 Years,SE,Leksand,Round 1 (#11 overall) 2012,Nashville Predators
Sam Reinhart,C,0.6584662322161384,https://www.spotrac.com/nhl/player/_/id/15572,8625000,9.8,1000000,10000000,2024,8,8,2032,69000000,UFA,28-325d,Nov 06 1995,8 Years,CA,Kootenay,Round 1 (#2 overall) 2014,Florida Panthers
Quinn Hughes,D,0.5059177301686478,https://www.spotrac.com/nhl/player/_/id/27046,7850000,8.92,9500000,-,2021,6,3,2027,47100000,UFA,24-347d,Oct 14 1999,4 Years,US,Michigan,Round 1 (#7 overall) 2018,Vancouver Canucks
Brayden Point,C,0.5669240170859945,https://www.spotrac.com/nhl/player/_/id/16547,9500000,10.8,5000000,7000000,2022,8,6,2030,76000000,UFA,28-197d,Mar 13 1996,6 Years,CA,Moose Jaw,Round 3 (#79 overall) 2014,Tampa Bay Lightning
Cale Makar,D,0.5874409150188964,https://www.spotrac.com/nhl/player/_/id/23683,9000000,10.23,10600000,-,2021,6,3,2027,54000000,UFA,25-331d,Oct 30 1998,4 Years,CA,Massachusetts,Round 1 (#4 overall) 2017,Colorado Avalanche
Sebastian Aho,C,0.5944999230449679,https://www.spotrac.com/nhl/player/_/id/19956,9750000,11.08,10000000,2000000,2024,8,8,2032,78000000,UFA,27-62d,Jul 26 1997,7 Years,FI,Karpat,Undrafted CAR 2016,Carolina Hurricanes
Elias Pettersson,C,0.5846425051890165,https://www.spotrac.com/nhl/player/_/id/23684,11600000,13.18,2500000,12000000,2024,8,8,2032,92800000,UFA,25-318d,Nov 12 1998,4 Years,SE,Timra,Round 1 (#5 overall) 2017,Vancouver Canucks
Matthew Tkachuk,L,0.5863663956367525,https://www.spotrac.com/nhl/player/_/id/20286,9500000,10.8,1000000,10250000,2022,8,6,2030,76000000,UFA,26-289d,Dec 11 1997,6 Years,US,London,Round 1 (#6 overall) 2016,Florida Panthers
Robert Thomas,C,0.575310899997336,https://www.spotrac.com/nhl/player/_/id/23699,8125000,9.23,10900000,-,2023,8,7,2031,65000000,UFA,25-86d,Jul 02 1999,4 Years,CA,London,Round 1 (#20 overall) 2017,St. Louis Blues
Roman Josi,D,0.570197302413482,https://www.spotrac.com/nhl/player/_/id/6839,9059000,10.29,9000000,-,2020,8,4,2028,72472000,UFA,34-119d,Jun 01 1990,11 Years,CH,Bern,Round 2 (#38 overall) 2008,Nashville Predators
Mitchell Marner,R,0.5267427701872907,https://www.spotrac.com/nhl/player/_/id/18058,10903000,12.39,750000,7250000,2019,6,1,2025,65418000,UFA,27-144d,May 05 1997,6 Years,CA,London,Round 1 (#4 overall) 2015,Toronto Maple Leafs
Jesper Bratt,L,0.5539796595374006,https://www.spotrac.com/nhl/player/_/id/20449,7875000,8.95,4000000,5000000,2023,8,7,2031,63000000,UFA,26-58d,Jul 30 1998,5 Years,SE,AIK,Round 6 (#162 overall) 2016,New Jersey Devils
