name,url,cap_hit,cap_hit_pct,base_salary,signing_bonus,contract_start_year,contract_years_signed,contract_years_left,free_agent_year,salary_signed,status_after_contract,age,birthday,experience,country,college,drafted,team_name
Troy Terry,https://www.spotrac.com/nhl/player/_/id/25051,7000000,7.95,7000000,-,2023,7,6,2030,49000000,UFA,27-16d,Sep 10 1997,6 Years,US,Denver,Round 5 (#148 overall) 2015,Anaheim Ducks
Cam Fowler,https://www.spotrac.com/nhl/player/_/id/7124,6500000,7.39,7500000,-,2018,8,2,2026,52000000,UFA,32-297d,Dec 05 1991,13 Years,CA,Windsor,Round 1 (#12 overall) 2010,Anaheim Ducks
John Gibson,https://www.spotrac.com/nhl/player/_/id/8961,6400000,7.27,6400000,-,2019,8,3,2027,51200000,UFA,31-105d,Jun 14 1993,10 Years,US,Kitchener,Round 2 (#39 overall) 2011,Anaheim Ducks
Alexander Killorn,https://www.spotrac.com/nhl/player/_/id/9271,6250000,7.10,6250000,-,2023,4,3,2027,25000000,UFA,35-14d,Sep 14 1989,11 Years,CA,Harvard,Round 3 (#77 overall) 2007,Anaheim Ducks
Trevor Zegras,https://www.spotrac.com/nhl/player/_/id/31633,5750000,6.53,5750000,-,2023,3,2,2026,17250000,RFA,23-189d,Mar 20 2001,3 Years,US,USA U-18,Round 1 (#9 overall) 2019,Anaheim Ducks
Ryan Strome,https://www.spotrac.com/nhl/player/_/id/8424,5000000,5.68,5000000,-,2022,5,3,2027,25000000,UFA,31-79d,Jul 10 1993,10 Years,CA,Niagara,Undrafted NYI 2011,Anaheim Ducks
Robby Fabbri,https://www.spotrac.com/nhl/player/_/id/15819,4000000,4.55,4250000,-,2022,3,1,2025,12000000,UFA,28-248d,Jan 22 1996,8 Years,CA,Guelph,Round 1 (#21 overall) 2014,Anaheim Ducks
Radko Gudas,https://www.spotrac.com/nhl/player/_/id/7007,4000000,4.55,4000000,-,2023,3,2,2026,12000000,UFA,34-115d,Jun 05 1990,11 Years,CZ,Everett,Round 3 (#66 overall) 2010,Anaheim Ducks
Frank Vatrano,https://www.spotrac.com/nhl/player/_/id/16480,3650000,4.15,3650000,-,2022,3,1,2025,10950000,UFA,30-197d,Mar 14 1994,8 Years,US,Massachusetts,Undrafted BOS 2015,Anaheim Ducks
Brian Dumoulin,https://www.spotrac.com/nhl/player/_/id/9553,3150000,3.58,3000000,-,2023,2,1,2025,6300000,UFA,33-22d,Sep 06 1991,9 Years,US,Boston College,Round 2 (#51 overall) 2009,Anaheim Ducks
Brock McGinn,https://www.spotrac.com/nhl/player/_/id/10794,2750000,3.13,2750000,-,2021,4,1,2025,11000000,UFA,30-237d,Feb 02 1994,8 Years,CA,Guelph,Round 2 (#47 overall) 2012,Anaheim Ducks
Isac Lundestrom,https://www.spotrac.com/nhl/player/_/id/27086,1500000,1.70,1500000,-,2024,1,1,2025,1500000,UFA,24-324d,Nov 06 1999,5 Years,SE,Lulea,Round 1 (#23 overall) 2018,Anaheim Ducks
Ross Johnston,https://www.spotrac.com/nhl/player/_/id/16614,1100000,1.25,1100000,-,2022,4,2,2026,4400000,UFA,30-221d,Feb 18 1994,6 Years,CA,Moncton,Undrafted NYI 2015,Anaheim Ducks
Urho Vaakanainen,https://www.spotrac.com/nhl/player/_/id/23697,1100000,1.25,1100000,-,2024,1,1,2025,1100000,UFA,25-268d,Jan 01 1999,4 Years,FI,JYP,Round 1 (#18 overall) 2017,Anaheim Ducks
Brett Leason,https://www.spotrac.com/nhl/player/_/id/31680,1050000,1.19,1050000,-,2024,1,1,2025,1050000,UFA,25-149d,Apr 30 1999,2 Years,CA,Prince Albert,Round 2 (#56 overall) 2019,Anaheim Ducks
Leo Carlsson,https://www.spotrac.com/nhl/player/_/id/84490,950000,1.08,855000,95000,2023,3,2,2026,12600000,RFA,19-272d,Dec 26 2004,,SE,,Round 1 (#2 overall) 2023,Anaheim Ducks
Cutter Gauthier,https://www.spotrac.com/nhl/player/_/id/78315,950000,1.08,855000,95000,2023,3,2,2026,5700000,RFA,20-249d,Jan 19 2004,,SE,,Round 1 (#5 overall) 2022,Anaheim Ducks
Jackson Lacombe,https://www.spotrac.com/nhl/player/_/id/31663,925000,1.05,925000,-,2024,2,2,2026,1850000,RFA,23-259d,Jan 09 2001,1 Years,US,St. Mary's,Round 2 (#39 overall) 2019,Anaheim Ducks
Pavel Mintyukov,https://www.spotrac.com/nhl/player/_/id/78320,918333,1.04,855000,95000,2023,3,2,2026,5200000,RFA,20-304d,Nov 25 2003,,RU,,Round 1 (#10 overall) 2022,Anaheim Ducks
Mason Mctavish,https://www.spotrac.com/nhl/player/_/id/73756,894167,1.02,832500,-,2022,3,1,2025,10275000,RFA,21-238d,Jan 30 2003,2 Years,CA,Peterborough,Round 1 (#3 overall) 2021,Anaheim Ducks
Olen Zellweger,https://www.spotrac.com/nhl/player/_/id/73790,844167,0.96,832500,-,2023,3,2,2026,2775000,RFA,21-15d,Sep 10 2003,,CA,Everett,Round 2 (#34 overall) 2021,Anaheim Ducks
Lukas Dostal,https://www.spotrac.com/nhl/player/_/id/27155,812500,0.92,850000,-,2023,2,1,2025,1625000,RFA,24-95d,Jun 22 2000,2 Years,CZ,Trebic,Round 3 (#85 overall) 2018,Anaheim Ducks
Jansen Harkins,https://www.spotrac.com/nhl/player/_/id/21705,787500,0.89,775000,-,2024,2,2,2026,1575000,UFA,27-126d,May 23 1997,2 Years,CA,Prince George,Round 2 (#47 overall) 2015,Anaheim Ducks
David Pastrnak,https://www.spotrac.com/nhl/player/_/id/15582,11250000,12.78,8500000,4500000,2023,8,7,2031,90000000,UFA,28-124d,May 25 1996,9 Years,CZ,Sodertalje SK,Round 1 (#25 overall) 2014,Boston Bruins
Charles Mcavoy,https://www.spotrac.com/nhl/player/_/id/20296,9500000,10.80,8500000,3000000,2022,8,6,2030,76000000,UFA,26-279d,Dec 21 1997,6 Years,US,Boston,Round 1 (#14 overall) 2016,Boston Bruins
Elias Lindholm,https://www.spotrac.com/nhl/player/_/id/13425,7750000,8.81,6000000,4000000,2024,7,7,2031,54250000,UFA,29-299d,Dec 02 1994,10 Years,SE,Brynas,Round 1 (#5 overall) 2013,Boston Bruins
Hampus Lindholm,https://www.spotrac.com/nhl/player/_/id/10753,6500000,7.39,6000000,2000000,2022,8,6,2030,52000000,UFA,30-250d,Jan 20 1994,10 Years,SE,Rogle,Round 1 (#6 overall) 2012,Boston Bruins
Brad Marchand,https://www.spotrac.com/nhl/player/_/id/7125,6125000,6.96,1000000,3000000,2017,8,1,2025,49000000,UFA,36-140d,May 11 1988,14 Years,CA,Moncton,Round 3 (#71 overall) 2006,Boston Bruins
Charlie Coyle,https://www.spotrac.com/nhl/player/_/id/8824,5250000,5.97,4500000,-,2020,6,2,2026,31500000,UFA,32-209d,Mar 02 1992,11 Years,US,Boston,Round 1 (#28 overall) 2010,Boston Bruins
Nikita Zadorov,https://www.spotrac.com/nhl/player/_/id/13564,5000000,5.68,2000000,4000000,2024,6,6,2030,30000000,UFA,29-164d,Apr 16 1995,10 Years,RU,London,Round 1 (#16 overall) 2013,Boston Bruins
Pavel Zacha,https://www.spotrac.com/nhl/player/_/id/18112,4750000,5.40,3750000,1000000,2023,4,3,2027,19000000,UFA,27-173d,Apr 06 1997,8 Years,CZ,Sarnia,Round 1 (#6 overall) 2015,Boston Bruins
Brandon Carlo,https://www.spotrac.com/nhl/player/_/id/18250,4100000,4.66,5450000,-,2021,6,3,2027,24600000,UFA,27-304d,Nov 26 1996,7 Years,US,Tri-City,Round 2 (#37 overall) 2015,Boston Bruins
Joonas Korpisalo,https://www.spotrac.com/nhl/player/_/id/16632,4000000,4.55,5000000,-,2023,5,4,2028,20000000,UFA,30-152d,Apr 28 1994,7 Years,FI,Jokerit,Round 3 (#62 overall) 2012,Boston Bruins
Andrew Peeke,https://www.spotrac.com/nhl/player/_/id/20319,2750000,3.13,2750000,-,2023,3,2,2026,8250000,UFA,26-193d,Mar 17 1998,4 Years,US,Green Bay,Round 2 (#34 overall) 2016,Boston Bruins
Trent Frederic,https://www.spotrac.com/nhl/player/_/id/20313,2300000,2.61,2300000,-,2023,2,1,2025,4600000,UFA,26-227d,Feb 11 1998,5 Years,US,USA U-18,Round 1 (#29 overall) 2016,Boston Bruins
Morgan Geekie,https://www.spotrac.com/nhl/player/_/id/23789,2000000,2.27,2000000,-,2023,2,1,2025,4000000,RFA,26-68d,Jul 20 1998,4 Years,CA,Tri-City,Round 3 (#67 overall) 2017,Boston Bruins
Max Jones,https://www.spotrac.com/nhl/player/_/id/20308,1000000,1.14,1000000,-,2024,2,2,2026,2000000,UFA,26-221d,Feb 17 1998,5 Years,US,London,Round 1 (#24 overall) 2016,Boston Bruins
John Beecher,https://www.spotrac.com/nhl/player/_/id/31653,925000,1.05,832500,92500,2022,3,1,2025,2775000,RFA,23-173d,Apr 05 2001,,US,USA U-18,Round 1 (#30 overall) 2019,Boston Bruins
Mason Lohrei,https://www.spotrac.com/nhl/player/_/id/62918,925000,1.05,832500,92500,2023,2,1,2025,2100000,RFA,23-251d,Jan 17 2001,,US,,Round 2 (#58 overall) 2020,Boston Bruins
Matthew Poitras,https://www.spotrac.com/nhl/player/_/id/78364,870000,0.99,775000,95000,2023,3,2,2026,2850000,RFA,20-198d,Mar 10 2004,,CA,,Round 2 (#54 overall) 2022,Boston Bruins
Mark Kastelic,https://www.spotrac.com/nhl/player/_/id/31749,835000,0.95,870000,-,2023,2,1,2025,1670000,RFA,25-199d,Mar 11 1999,1 Years,US,Calgary,Round 5 (#125 overall) 2019,Boston Bruins
Patrick Brown,https://www.spotrac.com/nhl/player/_/id/15252,800000,0.91,800000,-,2023,2,1,2025,1600000,UFA,32-121d,May 29 1992,6 Years,,Boston College,Undrafted CAR 2014,Boston Bruins
Parker Wotherspoon,https://www.spotrac.com/nhl/player/_/id/19696,800000,0.91,800000,-,2024,1,1,2025,800000,UFA,27-64d,Jul 24 1997,,CA,Tri-City,Round 4 (#112 overall) 2015,Boston Bruins
