Player,Season,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM
Alexandar Georgiev,20232024,COL,L,63,62,38,18,--,5,"1,770","1,588",183,0.897,3.02,3637:57,2,0,2,2,4
Connor Hellebuyck,20232024,WPG,L,60,60,37,19,--,4,"1,798","1,656",142,0.921,2.39,3567:20,5,0,0,0,2
Sergei Bobrovsky,20232024,FLA,L,58,58,36,17,--,4,"1,584","1,449",135,0.915,2.37,3414:14,6,0,2,2,4
Igor Shesterkin,20232024,NYR,L,55,55,36,17,--,2,"1,606","1,466",141,0.913,2.58,3277:06,4,0,1,1,6
Stuart Skinner,20232024,EDM,L,59,57,36,16,--,5,"1,553","1,406",147,0.905,2.62,3361:21,2,0,0,0,0
Thatcher Demko,20232024,VAN,L,51,51,35,14,--,2,"1,492","1,369",123,0.918,2.45,3015:53,5,0,1,1,0
Juuse Saros,20232024,NSH,L,64,64,35,24,--,5,"1,845","1,672",173,0.906,2.86,3624:38,3,0,2,2,2
Jake Oettinger,20232024,DAL,L,54,53,35,14,--,4,"1,476","1,336",140,0.905,2.72,3084:35,3,0,0,0,2
Andrei Vasilevskiy,20232024,TBL,L,52,52,30,20,--,2,"1,477","1,329",148,0.9,2.9,3062:52,2,0,2,2,2
Jordan Binnington,20232024,STL,L,57,55,28,21,--,5,"1,786","1,630",156,0.913,2.84,3291:29,3,0,3,3,8
Cam Talbot,20232024,LAK,L,54,52,27,20,--,6,"1,490","1,361",130,0.913,2.5,3116:07,3,0,3,3,4
Ukko-Pekka Luukkonen,20232024,BUF,L,54,51,27,22,--,4,"1,470","1,338",132,0.91,2.57,3081:14,5,0,1,1,8
Jeremy Swayman,20232024,BOS,L,44,43,25,10,--,8,"1,287","1,179",108,0.916,2.53,2565:51,3,0,1,1,0
Charlie Lindgren,20232024,WSH,R,50,48,25,16,--,7,"1,431","1,304",127,0.911,2.67,2852:23,6,0,0,0,0
Ilya Sorokin,20232024,NYI,L,56,55,25,19,--,12,"1,821","1,655",167,0.909,3.01,3325:59,2,0,2,2,0
Logan Thompson,20232024,VGK,R,46,42,25,14,--,5,"1,298","1,179",119,0.908,2.7,2645:28,1,0,3,3,0
Pyotr Kochetkov,20232024,CAR,L,42,40,23,13,--,4,"1,031",939,92,0.911,2.33,2371:29,4,0,0,0,8
Connor Ingram,20232024,ARI,L,50,48,23,21,--,3,"1,461","1,325",136,0.907,2.91,2802:56,6,0,3,3,0
Jacob Markstrom,20232024,CGY,L,48,48,23,23,--,2,"1,379","1,248",131,0.905,2.78,2831:07,2,0,5,5,0
Samuel Ersson,20232024,PHI,L,51,49,23,19,--,7,"1,204","1,072",132,0.89,2.82,2809:28,4,0,0,0,4
Ilya Samsonov,20232024,TOR,L,40,40,23,7,--,8,"1,087",967,120,0.89,3.13,2300:58,3,0,1,1,0
