Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Nikita Kucherov,20232024,TBL,L,R,81,44,100,144,8,22,1.78,31,91,13,53,0,0,1,6,306,14.4,21:40,50
Nathan MacKinnon,20232024,COL,R,C,82,51,89,140,35,42,1.71,41,92,10,48,0,0,2,9,405,12.6,22:49,46.2
Connor McDavid,20232024,EDM,L,C,76,32,100,132,35,30,1.74,24,87,7,44,1,1,1,5,263,12.2,21:22,51.1
Artemi Panarin,20232024,NYR,R,L,82,49,71,120,18,24,1.46,38,75,11,44,0,1,1,5,303,16.2,20:07,10
David Pastrnak,20232024,BOS,R,R,82,47,63,110,21,47,1.34,35,75,12,35,0,0,0,5,382,12.3,19:56,33.3
Auston Matthews,20232024,TOR,L,C,81,69,38,107,31,20,1.32,51,77,18,29,0,1,3,8,369,18.7,20:58,53.5
Leon Draisaitl,20232024,EDM,L,C,81,41,65,106,26,76,1.31,20,65,21,39,0,2,2,7,217,18.9,20:42,56.9
Mikko Rantanen,20232024,COL,L,R,80,42,62,104,19,50,1.3,28,64,14,40,0,0,0,9,271,15.5,22:54,53.8
J.T. Miller,20232024,VAN,L,C,81,37,66,103,32,58,1.27,25,61,10,40,2,2,2,9,194,19.1,19:29,56.3
William Nylander,20232024,TOR,R,R,82,40,58,98,1,24,1.2,26,59,11,35,3,4,2,7,316,12.7,19:55,47.1
Kirill Kaprizov,20232024,MIN,L,L,75,46,50,96,11,36,1.28,27,55,19,41,0,0,2,8,277,16.6,21:35,0
Sam Reinhart,20232024,FLA,R,C,82,57,37,94,29,31,1.15,25,55,27,34,5,5,3,11,233,24.5,20:18,44.2
Filip Forsberg,20232024,NSH,R,L,82,48,46,94,16,43,1.15,35,62,13,32,0,0,3,11,347,13.8,18:54,50
Sidney Crosby,20232024,PIT,L,C,82,42,52,94,7,40,1.15,32,71,10,23,0,0,0,3,278,15.1,20:05,58.2
Quinn Hughes,20232024,VAN,L,D,82,17,75,92,38,38,1.12,12,54,5,38,0,0,1,2,199,8.5,24:41,--
Brayden Point,20232024,TBL,R,C,81,46,44,90,-16,14,1.11,31,58,15,32,0,0,0,12,227,20.3,20:02,45.7
Cale Makar,20232024,COL,R,D,77,21,69,90,15,16,1.17,13,47,7,39,1,4,0,1,231,9.1,24:46,--
Sebastian Aho,20232024,CAR,L,C,78,36,53,89,34,36,1.14,24,55,11,32,1,2,2,10,216,16.7,19:38,54.1
Elias Pettersson,20232024,VAN,L,C,82,34,55,89,20,12,1.09,21,56,13,31,0,2,2,10,207,16.4,19:39,50.8
Matthew Tkachuk,20232024,FLA,L,L,80,26,62,88,19,88,1.1,19,55,6,32,1,1,0,2,280,9.3,18:38,33.3
Robert Thomas,20232024,STL,R,C,82,26,60,86,9,48,1.05,17,56,8,27,1,3,0,3,170,15.3,20:58,53.1
Mitch Marner,20232024,TOR,R,R,69,26,59,85,21,18,1.23,17,57,8,27,1,1,0,2,158,16.5,21:17,25
Roman Josi,20232024,NSH,L,D,82,23,62,85,12,45,1.04,14,51,9,33,0,1,2,5,268,8.6,24:38,--
Jesper Bratt,20232024,NJD,L,L,82,27,56,83,-6,12,1.01,20,55,7,27,0,1,0,7,248,10.9,19:18,36.4
Evan Bouchard,20232024,EDM,R,D,81,18,64,82,34,32,1.01,10,47,8,35,0,0,2,7,220,8.2,23:00,--
Steven Stamkos,20232024,TBL,R,C,79,40,41,81,-21,34,1.03,21,42,19,39,0,0,0,6,262,15.3,18:14,56
Jason Robertson,20232024,DAL,L,L,82,29,51,80,19,22,0.98,20,52,9,28,0,0,0,4,231,12.6,18:19,--
Aleksander Barkov,20232024,FLA,L,C,73,23,57,80,33,24,1.1,18,49,5,29,0,2,0,4,193,11.9,19:38,57.3
Mathew Barzal,20232024,NYI,R,C,80,23,57,80,-4,34,1,18,55,5,25,0,0,2,4,240,9.6,20:08,43
Zach Hyman,20232024,EDM,R,L,80,54,23,77,36,48,0.96,39,57,15,20,0,0,1,7,290,18.6,19:30,43.8
Nick Suzuki,20232024,MTL,R,C,82,33,44,77,-14,36,0.94,21,46,12,31,0,0,1,1,185,17.8,21:16,52.6
Jake Guentzel,20232024,"PIT,CAR",L,C,67,30,47,77,25,22,1.15,25,55,5,22,0,0,0,2,238,12.6,20:01,26.1
Vincent Trocheck,20232024,NYR,R,C,82,25,52,77,16,55,0.94,13,52,11,24,1,1,1,5,215,11.6,21:27,58.7
Clayton Keller,20232024,ARI,L,R,78,33,43,76,-20,32,0.97,24,46,9,30,0,0,0,4,228,14.5,19:15,46.2
Victor Hedman,20232024,TBL,L,D,78,13,63,76,18,76,0.97,9,45,4,31,0,0,0,2,168,7.7,24:48,--
Chris Kreider,20232024,NYR,L,L,82,39,36,75,19,26,0.91,19,41,18,29,2,5,1,7,246,15.9,18:47,36.5
Nazem Kadri,20232024,CGY,L,C,82,29,46,75,0,43,0.91,19,53,10,22,0,0,2,4,277,10.5,18:26,48.9
Adrian Kempe,20232024,LAK,L,R,77,28,47,75,13,72,0.97,20,44,5,27,3,4,1,4,246,11.4,18:56,23.1
Brandon Hagel,20232024,TBL,L,L,82,26,49,75,1,79,0.91,24,66,2,7,0,2,1,3,184,14.1,19:15,41
Gustav Nyquist,20232024,NSH,L,C,81,23,52,75,7,8,0.93,17,49,5,24,1,2,0,4,153,15,17:45,38.5
Brady Tkachuk,20232024,OTT,L,L,81,37,37,74,1,134,0.91,25,52,12,22,0,0,1,2,357,10.4,19:09,52.6
Jack Hughes,20232024,NJD,L,C,62,27,47,74,-12,12,1.19,18,43,9,31,0,0,2,4,274,9.9,20:58,37.2
Brock Boeser,20232024,VAN,R,R,81,40,33,73,23,14,0.9,24,48,16,25,0,0,1,4,204,19.6,18:36,52
Kevin Fiala,20232024,LAK,L,L,82,29,44,73,1,62,0.89,18,43,11,30,0,0,1,2,225,12.9,18:02,26.3
Adam Fox,20232024,NYR,R,D,72,17,56,73,21,36,1.01,10,38,6,33,1,2,1,5,137,12.4,23:27,--
Carter Verhaeghe,20232024,FLA,L,C,76,34,38,72,17,36,0.95,26,51,8,21,0,0,1,7,246,13.8,17:58,44.1
Lucas Raymond,20232024,DET,R,L,82,31,41,72,-12,30,0.88,25,56,6,16,0,0,3,4,163,19,17:45,40
Mika Zibanejad,20232024,NYR,R,C,81,26,46,72,15,30,0.89,12,35,12,31,2,6,2,3,221,11.8,19:45,49.3
Mark Scheifele,20232024,WPG,R,C,74,25,47,72,19,57,0.97,19,54,6,18,0,0,1,4,154,16.2,20:11,48.1
Anze Kopitar,20232024,LAK,L,C,81,26,44,70,11,22,0.86,16,44,9,23,1,3,0,6,133,19.6,19:39,55.1
Tim Stützle,20232024,OTT,L,C,75,18,52,70,-17,28,0.93,17,50,1,20,0,0,2,2,192,9.4,21:07,46.7
Noah Dobson,20232024,NYI,R,D,79,10,60,70,12,36,0.89,9,45,1,24,0,1,0,4,174,5.8,24:31,--
Jonathan Marchessault,20232024,VGK,R,R,82,42,27,69,-2,40,0.84,34,52,8,17,0,0,2,5,266,15.8,17:54,25
Brock Nelson,20232024,NYI,L,C,82,34,35,69,-5,28,0.84,24,48,9,19,1,2,1,2,250,13.6,18:05,45.2
Dylan Larkin,20232024,DET,L,C,68,33,36,69,5,39,1.01,17,41,14,26,2,2,2,5,221,14.9,20:10,55.4
Matt Boldy,20232024,MIN,L,L,75,29,40,69,5,48,0.92,19,44,10,25,0,0,1,7,227,12.8,18:55,42.1
Ryan O'Reilly,20232024,NSH,L,C,82,26,43,69,6,18,0.84,12,41,14,28,0,0,0,1,180,14.4,19:46,53.9
Josh Morrissey,20232024,WPG,L,D,81,10,59,69,34,44,0.85,8,50,2,19,0,0,0,1,196,5.1,24:11,--
Bo Horvat,20232024,NYI,L,C,81,33,35,68,-1,39,0.84,22,48,10,18,1,2,3,6,248,13.3,19:42,53.9
Travis Konecny,20232024,PHI,R,R,76,33,35,68,4,67,0.89,23,52,4,9,6,7,0,5,244,13.5,19:50,40.2
Jack Eichel,20232024,VGK,R,C,63,31,37,68,4,27,1.08,20,44,11,22,0,2,2,7,278,11.2,20:31,45.5
Seth Jarvis,20232024,CAR,R,C,81,33,34,67,23,14,0.83,18,44,13,20,2,3,1,9,176,18.8,18:45,44.6
Jordan Kyrou,20232024,STL,R,C,82,31,36,67,-12,22,0.82,23,46,8,21,0,0,0,4,251,12.4,18:20,33.3
Brad Marchand,20232024,BOS,L,L,82,29,38,67,2,78,0.82,19,37,7,26,3,4,2,6,207,14,19:06,43.6
Joe Pavelski,20232024,DAL,R,C,82,27,40,67,12,20,0.82,16,46,11,21,0,0,1,4,194,13.9,16:49,51.1
